,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi,,,,,,,,
46,47.04826386,3030391474,6762265990,10427700,529965,9613,7052,208158666,877730,355504,48515,0.448132546,,,,,,,,
47,48.04940202,3062560884,7205838576,10855167,334176,9527,3416,222627572,533101,618169,59393,0.425011031,,,,,,,,
48,49.05056421,3081193553,7198731754,11261388,233903,8900,5688,219496171,249948,481237,16427,0.428018943,,,,,,,,
49,50.05170582,3079906781,7341908628,10646191,269136,10889,7927,215823970,123660,277631,8432,0.419496746,,,,,,,,
50,51.05241367,3072901100,7450085400,10758691,259494,9220,4639,228104291,173000,257538,49900,0.412465218,,,,,,,,
51,52.05354773,3064211302,7991526024,16036731,153594,25201,15011,140956324,1033117,372090,523737,0.383432563,,,,,,,,
52,53.05469541,3062664279,8056720897,28775749,35662,17691,6653,24708873,330091,213836,568039,0.380137815,,,,,,,,
53,54.05583808,3056410862,7984586691,29197452,38686,19058,6090,24292284,424220,264520,1991239,0.382788863,,,,,,,,
54,55.05693424,3066066296,8066686741,29220206,42647,50659,7475,24798923,371451,211287,1864676,0.380089917,,,,,,,,
55,56.05806818,3074643776,7286401872,17464091,29104,24478,7240,193729961,274422,232468,464247,0.421970107,,,,,,,,
56,57.0591998,3081041435,7323692891,13582247,21855,8354,6888,236843441,271240,206421,289047,0.420695062,,,,,,,,
57,58.06036016,3082614857,7344820376,13535722,19544,7719,5550,237261098,209448,191249,286894,0.419699148,,,,,,,,
58,59.06148339,3080159702,7335192092,13497460,19217,7787,5804,236899938,224168,213895,298163,0.419915343,,,,,,,,
59,60.06262091,3080222615,7320836478,13541760,21088,7769,5474,236759056,236171,205845,304049,0.420747359,,,,,,,,
60,61.06375407,3080563087,7332389533,13563789,19504,7733,5460,237111856,217888,203730,307942,0.420130855,,,,,,,,
61,62.06489451,3080975100,7337279390,13533756,19114,7152,5033,237238356,220287,203899,306604,0.419907017,,,,,,,,
62,63.06602129,3081728430,7337178793,13592411,20210,7643,5167,237167591,205477,205511,284645,0.420015447,,,,,,,,
63,64.06716149,3081970358,7340896372,13502293,20279,7463,5358,237256746,216785,200522,296222,0.419835699,,,,,,,,
64,65.06829016,3082474299,7340464553,13634105,19751,7517,5411,237205664,212060,209964,292400,0.419929049,,,,,,,,
65,66.06938244,3081180985,7335521479,13498116,19594,7330,5563,237133798,222253,193105,304433,0.420035712,,,,,,,,
66,67.07050793,3080635726,7341583717,13530262,17645,7160,4487,237125690,198626,218536,289090,0.419614602,,,,,,,,
67,68.07163586,3080415611,7326078480,13517749,18843,6970,4589,236857521,215641,193629,341129,0.420472647,,,,,,,,
68,69.07180633,3076502103,7310521834,13513219,20552,7636,6773,236343946,242421,195293,345548,0.420832079,,,,,,,,
69,70.07290479,3033464031,7214300697,13322394,30985,8939,5786,233540585,243062,212031,305401,0.420479289,,,,,,,,
70,71.0740361,3081405893,7331694615,13506048,30547,7500,5463,237023875,239961,194345,305510,0.42028563,,,,,,,,
71,72.07515754,3082476742,7337912848,13623140,18864,6899,5348,237085653,217507,207462,320475,0.420075409,,,,,,,,
72,73.07578965,3050367884,7246859230,13362434,20395,7363,5218,234420393,228089,228911,379793,0.420922746,,,,,,,,
73,74.07692773,3083127365,7343783461,13709062,26917,6608,4090,237095631,194851,199648,314293,0.419828196,,,,,,,,
74,75.0780568,3081398393,7340609993,13542451,17468,6410,4597,237194513,213327,210209,314960,0.41977416,,,,,,,,
75,76.07918239,3083045310,7348236595,13525865,17690,6384,4960,237420673,199200,206433,293635,0.419562608,,,,,,,,
76,77.07978805,3077495612,7322364786,13724213,19252,7027,5532,236603218,250597,198502,315492,0.420287121,,,,,,,,
77,78.08090107,3080167816,7330943007,13550900,18900,7277,4774,236829879,220952,199679,303213,0.420159837,,,,,,,,
78,79.0820403,3082908832,7347646586,13604545,18153,6880,5235,237364602,221514,200636,306854,0.419577724,,,,,,,,
79,80.08317721,3082109572,7346654136,13615599,18290,6568,4518,237316993,210178,221637,311372,0.419525612,,,,,,,,
80,81.0837758,3080409975,7340474504,13682447,16055,6081,4200,237119842,183287,199405,320182,0.419647255,,,,,,,,
81,82.08490317,3083293944,7355880551,13573361,16484,6459,3212,237396615,168008,200610,297295,0.419160415,,,,,,,,
82,83.08602694,3082771769,7353084904,13721330,15968,5731,2830,237483849,175790,205567,305845,0.419248766,,,,,,,,
83,84.08715362,3085001899,7355537250,13555967,18252,6649,4367,237389693,182703,199941,297784,0.419412178,,,,,,,,
84,85.0882727,3081716847,7339727607,13621361,19997,6696,5108,236965936,227618,198522,310579,0.419868013,,,,,,,,
85,86.08939818,3081083353,7332215361,13513212,19194,7389,5109,237073799,209456,202030,320883,0.420211792,,,,,,,,
86,87.09052083,3081632430,7337220615,13517374,19467,7012,4826,237247831,205195,210108,305417,0.419999969,,,,,,,,
87,88.0916084,3080687294,7335424534,13601496,19692,7332,5383,237078452,226512,213659,302121,0.419973961,,,,,,,,
88,89.09274168,3080388044,7331197607,13468276,18854,7479,4850,236848553,238130,212497,315653,0.420175285,,,,,,,,
89,90.09386613,3083697106,7330542461,13518213,17898,6405,2457,236095681,174619,203686,298176,0.420664244,,,,,,,,
90,91.09498576,3083318818,7351364270,13525558,14796,5851,2434,237475100,176832,201452,308436,0.419421308,,,,,,,,
91,92.09572383,3083467978,7351864713,13993101,15136,5955,2039,237102392,146762,203732,316620,0.419413047,,,,,,,,
92,93.09685523,3083498446,7354590943,13563344,15492,6749,2218,237438116,197096,204824,308355,0.41926172,,,,,,,,
93,94.09799553,3081644272,7439081967,12362060,102690,8568,2856,234003227,151051,216306,261004,0.414250614,,,,,,,,
94,95.09913314,3078924575,7437565268,11024768,240731,8865,2535,230204693,257026,408889,61877,0.413969419,,,,,,,,
95,96.09981453,3083494258,7214840514,11241309,237918,9496,5901,216862690,274568,540061,21771,0.427382179,,,,,,,,
96,97.1009205,3086130031,7221197736,10881822,242556,11130,6872,216961456,136901,357114,2980,0.427370935,,,,,,,,
97,98.10204977,3084329289,7470257500,10717466,244576,12101,5687,223830974,116019,258670,25468,0.412881255,,,,,,,,
98,99.10315613,3071755585,7404269511,10629925,282790,11955,3755,227874117,193807,351664,58023,0.414862746,,,,,,,,
99,100.1038278,3075925994,7525954723,10734163,242513,10030,3456,229373151,249763,378172,72654,0.408709075,,,,,,,,
100,101.1049572,3071218051,8038509643,14568640,159842,11536,15372,145308373,1190184,460302,537241,0.382063117,,,,,,,,
101,102.1060811,3075132661,8012492438,30278464,27187,20413,6199,24761630,286118,213284,1991237,0.38379227,,,,,,,,
102,103.1072114,3073111765,7886720522,31287203,36835,32808,4409,22662142,236783,204884,874913,0.389656481,,,,,,,,
103,104.1083322,3069765929,8067208152,29808707,33306,21709,6083,24683846,245486,182959,392097,0.380523952,,,,,,,,
104,105.1094596,3077267412,7489740114,18684790,21831,9088,4655,178268791,216406,220338,467537,0.410864378,,,,,,,,
105,106.1105842,3082940127,7349218345,13508726,17646,6560,4073,237481417,201855,209669,306669,0.419492248,,,,,,,,
106,107.111718,3032071356,7220929354,13328851,19526,6371,4166,233488567,212330,200505,310068,0.419900432,,,,,,,,
107,108.112832,3083208023,7339084849,14455119,15330,5465,2931,237011706,172065,207551,297959,0.420107968,,,,,,,,
108,109.1139531,3080147062,7332485579,13514348,16454,5785,3048,236963206,210943,209950,313085,0.420068615,,,,,,,,
109,110.1150896,3082652435,7344384203,13759250,15429,5589,2507,237124889,190445,209909,299922,0.41972919,,,,,,,,
110,111.1161937,3082876474,7344715879,13767464,14317,5507,3048,237184834,183109,196079,288568,0.419740739,,,,,,,,
111,112.1172853,3081388093,7338544743,13527049,15416,5676,2844,237300297,182779,211169,323076,0.419890891,,,,,,,,
112,113.1184089,3083979765,7354582310,13561863,14397,5510,2517,237272281,188539,206783,288066,0.419327657,,,,,,,,
113,114.1195075,3083307630,7350888194,13565521,14448,5663,2875,237068457,199046,196600,307951,0.41944695,,,,,,,,
114,115.1198184,3080659452,7349103976,13638615,14701,5184,3476,237118036,189050,211405,286604,0.419188443,,,,,,,,
115,116.1209258,3083732358,7351918162,13738085,14895,5684,3260,237206100,189663,206400,291005,0.419445958,,,,,,,,
116,117.1220422,3082561588,7343441131,13609067,15950,5750,3286,237020629,207416,219200,304156,0.419770722,,,,,,,,
117,118.1231716,3084334235,7349624700,13561456,16584,5854,4015,237086213,208182,200987,298818,0.419658739,,,,,,,,
118,119.1242978,3080397555,7327427686,13576316,20079,7643,4607,236686438,269432,205384,306619,0.420392761,,,,,,,,
119,120.1254283,3084256864,7350931970,13513649,17474,6969,4553,237380819,215276,200483,285334,0.419573583,,,,,,,,
120,121.1265495,3083059132,7345906610,13514895,17300,6345,4452,237185848,219636,208269,292246,0.419697567,,,,,,,,
