,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi
54,11.01763659,590898949,867939385,5537624,163857,36416,37085,15066012,5818295,233271,174687,0.680806701
55,11.21797179,580935470,888141065,4746549,210859,30538,26011,14078184,5593726,288148,138478,0.654102702
56,11.41838548,581405964,969144578,3667854,113391,34760,40922,18999934,5151847,273190,253935,0.599916645
57,11.61874149,535079916,728074812,2818532,208541,31345,11593,18301009,1589187,529533,364025,0.734924361
58,11.81907896,592787406,962305002,5920107,92801,29268,62954,9935403,12013654,174272,125428,0.61600782
59,12.0194277,597143821,936855570,6365955,95396,38264,66664,10362404,12854392,141352,160901,0.637391547
60,12.21975263,601392788,952714868,6477471,90984,38503,62034,12325876,12725263,130520,161330,0.631241107
61,12.42003484,603619460,1029750398,5608730,192021,43140,63915,14404216,8393714,98043,173626,0.586180361
62,12.62032842,601636687,1032723507,5870928,102364,42584,53548,12751975,10225156,121299,146694,0.58257286
63,12.82061992,593043892,846879868,6828380,133671,40767,83040,9350247,15939643,130776,146650,0.700269205
64,13.02093486,596878025,867938625,6400952,104476,44591,86601,10088211,15546813,134752,170298,0.68769612
65,13.22126109,600646572,1029959682,5935275,88950,37189,71177,10325295,13039009,141467,163097,0.583174839
66,13.42154207,601385507,943268231,6813582,91957,39240,68967,10512236,12062757,125475,127682,0.637555138
67,13.62184975,604399210,925545914,6803036,96363,38385,54107,11402013,11507241,105008,121740,0.653019154
68,13.82215869,603621152,1007620361,6493072,101086,43394,58027,12508447,11896848,117579,164410,0.599056128
69,14.02248647,601308348,1018391161,5585663,154463,39157,32390,15311536,7613104,118268,168117,0.5904493
70,14.22279105,604195754,1060650474,5574401,139556,40390,34092,16098880,9221573,126443,194155,0.569646428
71,14.42307978,592586687,957851132,5193048,286801,43427,26314,16315942,6384501,257141,161286,0.618662616
72,14.62337577,598617731,998449605,5794575,122386,39384,40296,13865942,8715130,146946,158806,0.599547266
73,14.8236662,596857277,880023311,6422110,107683,40250,82576,10350175,14707852,161142,172711,0.67822894
74,15.02395055,594723603,835008138,6825163,95905,36470,75701,8356210,13903390,178867,152769,0.712236894
75,15.22423431,601494833,942014434,6617420,101262,40186,63373,11684386,12077049,120624,135510,0.638519763
76,15.42454599,594082253,893622568,6120187,96386,39338,72076,9939446,11552668,163486,164260,0.664802204
77,15.62484243,594198183,921291235,6079953,96903,39546,58802,11484857,11301029,155549,169630,0.644962375
78,15.8251596,595209006,962118139,5967131,101888,34539,45939,12980689,9552377,148789,183627,0.618644407
79,16.02547023,592244420,902410061,5998826,89705,36306,62369,10167773,10222758,169539,155696,0.656291907
80,16.22578649,591712624,946641019,5491090,144526,34503,30002,14229586,5940572,226818,179576,0.625065481
81,16.42611306,601837769,1029944968,5850132,207426,31645,33745,15036470,9035496,143633,89855,0.584339734
82,16.62642532,605454544,1053699732,5868287,90504,38887,55915,12913499,11054692,85139,139275,0.574598745
83,16.82673941,601291524,844025648,6819610,89389,39262,105329,9275620,15571421,105554,138939,0.712409067
84,17.02703366,585945067,1052823360,4962614,89403,37996,73834,11993811,10809028,138931,171865,0.556546415
85,17.22732296,596102801,878936535,6593226,158795,42348,89208,9382727,14570228,104195,148292,0.678209151
86,17.42760157,594605582,921448246,6043969,72348,33499,71271,10654723,12793051,141448,201489,0.645294605
87,17.62789671,571902579,875337040,5802233,173679,35567,74209,8144437,13442259,225663,162489,0.653351284
88,17.8282427,599694926,877128310,6562020,77099,35053,76102,10515754,14642990,124806,149881,0.683702623
89,18.02859117,596663298,851144734,6476839,86571,40396,99224,9438078,13787056,129755,161164,0.701012735
90,18.22891562,600324426,982369220,6341944,66386,36226,70789,9634091,13030088,100515,166628,0.61109857
91,18.42920321,597787734,860590660,6705918,70753,39237,91273,9311261,16336974,140197,162616,0.694624938
92,18.62953751,597581175,883845636,6189767,95530,41284,101297,10099080,17786867,140936,187163,0.676114867
93,18.82985188,597669704,921962914,6369375,70935,35437,81938,8812843,16137416,117958,155490,0.648257858
94,19.03014956,602403722,1034566268,5781933,96705,40647,65811,11926076,12872649,90504,174384,0.582276593
95,19.23044744,602466157,1064171641,5179633,129033,42812,64741,12957856,12972056,113045,212671,0.566136264
96,19.43073846,600113311,920578754,6553493,82809,29988,66111,10100626,12003811,109349,150920,0.651886988
97,19.63106297,602183674,952787704,6551120,75595,34930,68549,10309834,14778014,111714,175407,0.632022928
98,19.83139729,601147680,953326757,6464643,91633,37483,74626,10459046,13588431,143927,156410,0.630578839
99,20.03169478,598882317,892171935,6708373,79512,35531,70960,9555014,12554080,134902,160310,0.671263345
100,20.23205636,588496620,898385222,5917713,101439,33345,60295,11313456,10571405,158233,207586,0.655060441
101,20.43243621,589849836,951495337,5367202,90151,32234,57674,12771953,8303508,203300,156582,0.619918788
102,20.63275985,592157236,1025657689,5093963,141788,39016,43194,14572915,9096249,211168,212348,0.577343925
103,20.83307925,600541704,998260748,5836837,94908,42470,67258,12022548,10902043,108695,174911,0.601588017
104,21.0334092,600940316,902250580,6807627,95634,33778,68882,9886532,13838169,119485,160883,0.666045918
105,21.23369839,601516960,947808292,6396206,89684,38612,76374,10425041,14100904,100097,168629,0.6346399
106,21.43402832,602442100,917141570,6715825,105287,38977,98525,8362363,15512037,94532,147768,0.656869255
107,21.63433679,605398842,1066541590,5714204,120116,41180,68278,12056100,12873291,94943,186319,0.567627974
108,21.83466395,605688137,1033477563,6095002,85899,40906,82590,10162594,16271889,75199,145634,0.586068008
109,22.03494639,587718284,797947079,6505433,82307,37877,87892,8169542,15481750,133037,165076,0.736537923
110,22.23524879,597311237,904889520,6268805,78488,36538,83207,9533118,14768928,123166,175574,0.660092999
111,22.43557388,601020827,891482043,6764291,88134,39018,91103,9643131,16222648,113633,125362,0.674181641
112,22.63588584,600943489,890461178,6804353,88304,36793,89246,9474923,14075318,142854,119708,0.674867702
113,22.83617527,602499373,970256030,6485295,82121,38471,64780,11312685,12297537,101434,123309,0.62096947
